deceptive,hotel,polarity,source,text
truthful,conrad,positive,TripAdvisor,"We stay for a one night getaway with family on a thursday. Triple AAA rate of 173 was a steal. 7th floor room complete with 44in plasma TV bose stereo, voss and evian water, and gorgeous bathroom(no tub but was fine for us) Concierge was very helpful. You cannot beat this location... Only flaw was breakfast was pricey and service was very very slow(2hours for four kids and four adults on a friday morning) even though there were only two other tables in the restaurant. Food was very good so it was worth the wait. I would return in a heartbeat. A gem in chicago..."
truthful,conrad,positive,TripAdvisor,"We stayed here for a one night family getaway on a Thursday. The AAA triple rate of $173 was a steal. Room on the 7th floor with a 44 inch plasma TV, Bose stereo, Voss and Evian water, and a beautiful bathroom (no tub but that was fine for us). The concierge was very helpful. You can't beat this place... The only downside was that the breakfast was expensive and the service was very very slow (2 hours for four kids and four adults on a Friday morning) even though there were only two other tables in the restaurant. The food was very good so it was worth the wait. I would definitely stay here again. A gem in Chicago..."
truthful,hyatt,positive,TripAdvisor,"triple A rate with upgrade to view room was less than $200 which also included breakfast vouchers. Had a great view of river, lake, Wrigley Bldg. & Tribune Bldg. Most major restaurants, Shopping, Sightseeing attractions within walking distance. Large room with a very comfortable bed."
truthful,hyatt,positive,TripAdvisor,"The Triple A rate with a view room upgrade was under $200 which also included breakfast vouchers. I had a great view of the river, lake, Wrigley Bldg. and Tribune Bldg. Most major restaurants, shops and tourist attractions are within walking distance. Large room with a very comfortable bed."
truthful,hyatt,positive,TripAdvisor,"This semen a little late as I'm finally catching up on my reviews from the past several months:) A dear friend and I stayed at the Hyatt Regency in late October 2007 for one night while visiting a friend and her husband from out of town. This hotel is perfect, IMO. Easy check in and check out. Lovely, clean, comfortable rooms with great views of the city. I know this area pretty well and it's very convenient to many downtown Chicago attractions. We had dinner and went clubing with our friends around Division St.. We had no problems getting cabs back and forth to the Hyatt and there's even public transportation right near by but we didn't bother since we only needed cabs from and to the hotel. Parking, as is usual for Chicago, was expensive but we were able to get our car out quickly (however, we left on a Sunday morning, not exactly a high traffic time although it was a Bears homegame day, so a bit busier than usual I would think). No problems at all and the best part is that we got a rate of $100 through Hotwire, a downright steal for this area of Chicago and the quality of the hotel."
truthful,hyatt,positive,TripAdvisor,"This is a little late as I am finally catching up on my reviews from the last few months :) A dear friend and I stayed at the Hyatt Regency in late October 2007 for one night while visiting a friend and her husband from out of town. This hotel is perfect, in my opinion. Easy check-in and check-out. Lovely, clean, comfortable rooms with great views of the city. I know this area quite well and it is very convenient to many of Chicago's downtown attractions. We had dinner and clubbing with our friends around Division St. We had no problem getting a cab to and from the Hyatt and there is even public transportation nearby, but we didn't bother getting a cab as we only needed cabs to and from the hotel. Parking, as is often the case in Chicago, was expensive but we were able to get our car out quickly (however, we left on a Sunday morning, it wasn't exactly a busy time although it was a Bears home game day so a little busier than usual I think). No problems and the best part was that we got a $100 rate through Hotwire, a real steal for this area of ​​Chicago and the quality of the hotel."
truthful,omni,positive,TripAdvisor,"The Omni Chicago truly delivers on all fronts, from the spaciousness of the rooms to the helpful staff to the prized location on Michigan Avenue. While this address in Chicago requires a high level of quality, the Omni delivers. Check in for myself and a whole group of people with me was under 3 minutes, the staff had plentiful recommendations for dining and events, and the rooms are some of the largest you'll find at this price range in Chicago. Even the 'standard' room has a separate living area and work desk. The fitness center has free weights, weight machines, and two rows of cardio equipment. I shared the room with 7 others and did not feel cramped in any way! All in all, a great property!"
truthful,omni,positive,TripAdvisor,"The Omni Chicago definitely lives up to its hype, from the spaciousness of the rooms to the friendliness of the staff to its prime location on Michigan Avenue. While this Chicago address demands a high standard, the Omni delivers. Check-in for me and a group of people with me took less than 3 minutes, the staff made plenty of recommendations for restaurants and events, and the rooms are some of the largest you'll find in this price range in Chicago. Even the ""standard"" room has a separate living room and desk. The fitness center has free weights, weight machines, and two rows of cardio equipment. I shared the room with 7 other people and didn't feel cramped! Overall, a great property!"
truthful,hyatt,positive,TripAdvisor,"iodine asked for a high floor away from the elevator and that is what I got. The room was pleasantly decorated, functional and very clean. I didn't need a whole lot of service but when I did they were pleasant and prompt. I used the fitness center which was well equipped and everything was in working order. It is in a great location at one end of the Michigan Avenue shopping district."
truthful,hyatt,positive,TripAdvisor,"I asked for a high floor, away from the elevator, and that's what I got. The room was nicely decorated, functional, and very clean. I didn't need a lot of services, but when I did, they were nice and quick. I used the fitness center which was well equipped and everything worked. It's in a great location at one end of the Michigan Avenue shopping district."
